x,y,m,f1
-1024,-1.8695069251825843092893948451190924106415622811970274139122399074913669318e-448,18,1024.9990262864799233877002002192197689204483374634418722441021309508068623
-1023.875,-2.1186872572536025360648301184418574389228139077948328363347393948768094505e-448,18,1024.8740261679502964173601965677149898371003828871859864652169805459537464
-1023.75,-2.4010800389977014711432337404736649158317187677358727623861832448484586413e-448,18,1024.7490260493918087285358237291436103605271625900353404533351412175315314
-1023.625,-2.7211120564010004147716766546925190924501388288188665335324272530760110574e-448,18,1024.6240259308044497789814612732947720513434211753717649949055054162698329
-1023.5,-3.0838001288714852259078141071574147200573848276449381925077469519168520899e-448,18,1024.4990258121882090213163477486999045958668206979129433969378524444729364
-1023.375,-3.4948297531618789929567742723183798915740133105888251659979228896909486025e-448,18,1024.374025693543075903021453623084683038719478146455728899940824528740665
-1023.25,-3.96064422953484358854795980230428120666499149675947253664825430805605045e-448,18,1024.2490255748690398664363519384553222891214280460193153963661290320151027
-1023.125,-4.4885456673226336069717216915733384264796202153801183481401477758547052136e-448,18,1024.1240254561660903487560866788703672121152842328609325696132028871498988
-1023,-5.0868094532564732559581930874941852262179404492990095938843157944627458389e-448,18,1023.9990253374342167820280388489472370958197082946021586625924490341707725
-1022.875,-5.7648139769853523272301890807590966635885524297580813915083068465853365757e-448,18,1023.8740252186734085931487902611508816825283732907095347422232376586470473
-1022.75,-6.5331876473780167060789338607942211507425184578064123957095999154244719009e-448,18,1023.7490250998836552038609850299100022625122790578588464432819437020062938
-1022.625,-7.4039755042550066469144530395154791883355946190491622687314531965070511934e-448,18,1023.6240249810649460307501887706043855522044649433074737199070385879824949
-1022.5,-8.3908280373787599982408151503162624820758546352307746922716801931398637317e-448,18,1023.4990248622172704852417455014649902105019039026314114316272495650219867
-1022.375,-9.5092151726544884712834008016954902319703085959917734278604832930221601337e-448,18,1023.3740247433406179735976322464265158856607616870979459882306472614552254
-1022.25,-1.0776668780020034903433569988556575553863505699883419976368431156058487648e-447,18,1023.2490246244349778969133113369702726281359609128183449942000165366473201
-1022.125,-1.221305750461390141871771901273544733601681554143044389899463782717765319e-447,18,1023.1240245055003396511145804109932543491683731697629471930564127789451485
-1022,-1.3840898229516119482762940730457948671236771534285190451051212228476806032e-447,18,1022.9990243865366926269544201067374037483938154433242665414978108376557272
-1021.875,-1.5685709052599849470645318460149899067092709347211426466852065201229366309e-447,18,1022.8740242675440262100098394498111377736747588441989624006008892163883386
-1021.75,-1.7776409310814525783957738325268768100014434975998480586288865866952974713e-447,18,1022.7490241485223297806787189313332822101722382177231143446161478975596837
-1021.625,-2.0145772922745837647253185233667846208667443674705320196551135539887410922e-447,18,1022.6240240294715927141766512752276414208124072250045170540467878588457146
-1021.5,-2.2830942156125474059172076952077508204248360644016467256982638569110514122e-447,18,1022.4990239103918043805337798926945045741865928563951327745333171793182909
-1021.375,-2.58740098741970107791383423703553794258292087282245763993910220290883694e-447,18,1022.3740237912829541445916350218834628959791902115650604857217147289532076
-1021.25,-2.9322679388332653965300997397943894968835193606419950706599596771037763395e-447,18,1022.249023672145031365999967550789983563664468117383657084810067794280625
-1021.125,-3.3231012260867063734085498444669471190471526759058755153643184833504411337e-447,18,1022.1240235529780253992135805213962548288680302456376519825653318242543255
-1021,-3.7660275780840460027216079684775273247103835117167127834713690390353519638e-447,18,1021.9990234337819255934891583130748837948645273866486512446754900014282963
-1020.875,-4.2679903397836943152499090008534751854475005927988457086978521576237975536e-447,18,1021.8740233145567212928820935032720929955900029577703749660440390056921703
-1020.75,-4.8368583169859521412057921615302871718275956196684434436680138940036049823e-447,18,1021.7490231953024018362433114034851245146912550891814552591089811627161408
-1020.625,-5.4815491287959583729632576603310024508051883694336174261805850531834220888e-447,18,1021.6240230760189565572160922685466208459186099324549564375566227254156529
-1020.5,-6.2121690014594274916071812685265924072462744270286842477628285385176636876e-447,18,1021.4990229567063747842328911772268100269918280601033007282440785979347399
-1020.375,-7.0401711950072306086768669459509263560811636966767951693667403449650952061e-447,18,1021.374022837364645840512155582162378775327320412920139379831386955550353
-1020.25,-7.9785355462371027049874396469035753994290171077993104767991567941786456277e-447,18,1021.2490227179937590440551405271189714131007440961507119728023280151327484
-1020.125,-9.041971942585433398739201480875633612481720569998990753005953691502739046e-447,18,1021.1240225985937037076427215295923042884211886274908883261618851344033459
-1020,-1.0247150916588459392015645880618508662253167594446575985839058782638599492e-446,18,1020.9990224791644691388322051267509351762968473752138587573897417952068702
