x,g
-128,-128.99236465840002760679909668707171
-127.984375,-128.9767387471718280902158671080561
-127.96875,-128.96111283572605575032975020990834
-127.953125,-128.94548692406263263628534342212994
-127.9375,-128.92986101218148075997760874191389
-127.921875,-128.91423510008252209602961514851443
-127.90625,-128.89860918776567858177026505298453
-127.890625,-128.88298327523087211721200476991703
-127.875,-128.86735736247802456502851899781313
-127.859375,-128.85173144950705775053240929468874
-127.84375,-128.83610553631789346165285653551652
-127.828125,-128.82047962291045344891326733808864
-127.8125,-128.80485370928465942540890444387245
-127.796875,-128.78922779544043306678450104041818
-127.78125,-128.77360188137769601121185901186532
-127.765625,-128.75797596709636985936743110408107
-127.75,-128.74235005259637617440988699095147
-127.734375,-128.72672413787763648195766322833307
-127.71875,-128.71109822294007227006649708215984
-127.703125,-128.69547230778360498920694421718711
-127.6875,-128.67984639240815605224188023284162
-127.671875,-128.66422047681364683440398603263341
-127.65625,-128.64859456099999867327321701357267
-127.640625,-128.63296864496713286875425606202135
-127.625,-128.61734272871497068305395034239655
-127.609375,-128.60171681224343334065873186512961
-127.59375,-128.58609089555244202831202182027173
-127.578125,-128.57046497864191789499161866312393
-127.5625,-128.55483906151178205188706993825616
-127.546875,-128.53921314416195557237702782826718
-127.53125,-128.52358722659235949200658841362385
-127.515625,-128.5079613088029148084646146299051
-127.5,-128.49233539079354248156104290876327
-127.484375,-128.47670947256416343320417348890166
-127.46875,-128.46108355411469854737794438335454
-127.453125,-128.44545763544506867011918898934249
-127.4375,-128.42983171655519460949487732696273
-127.421875,-128.4142057974449971355793408929609
-127.40625,-128.39857987811439698043148111581776
-127.390625,-128.38295395856331483807196139837064
-127.375,-128.36732803879167136446038273417674
-127.359375,-128.35170211879938717747244288381162
-127.34375,-128.33607619858638285687707909728336
-127.328125,-128.32045027815257894431359436872941
-127.3125,-128.30482435749789594326876720954975
-127.296875,-128.28919843662225431905394492611696
-127.28125,-128.2735725155255744987821203881902
-127.265625,-128.2579465942077768713449922741469
-127.25,-128.24232067266878178739000877913252
-127.234375,-128.22669475090850955929739477221562
-127.21875,-128.2110688289268804611571623886216
-127.203125,-128.19544290672381472874610504310571
-127.1875,-128.17981698429923255950477485051188
-127.171875,-128.16419106165305411251444343955114
-127.15625,-128.14856513878519950847404614581923
-127.140625,-128.13293921569558882967710957006037
-127.125,-128.11731329238414211998866248766987
-127.109375,-128.10168736885077938482213009541546
-127.09375,-128.08606144509542059111621158134326
-127.078125,-128.07043552111798566731174100382104
-127.0625,-128.0548095969183945033285314656578
-127.046875,-128.03918367249656695054220256922522
-127.03125,-128.02355774785242282176099113849281
-127.015625,-128.00793182298588189120254519387529
-127,-127.99230589789686389447070116577694
-126.984375,-127.97667997258528852853224433270403
-126.96875,-127.96105404705107545169365246980305
-126.953125,-127.94542812129414428357782269366858
-126.9375,-127.92980219531441460510078148925111
-126.921875,-127.91417626911180595844837790468156
-126.90625,-127.89855034268623784705295989981532
-126.890625,-127.88292441603762973557003383428512
-126.875,-127.86729848916590104985490708083848
-126.859375,-127.85167256207097117693931374972127
-126.84375,-127.83604663475275946500802350985579
-126.828125,-127.82042070721118522337543349254763
-126.8125,-127.80479477944616772246214326344184
-126.796875,-127.78916885145762619377151284843539
-126.78125,-127.77354292324547982986620379923883
-126.765625,-127.75791699480964778434470328426644
-126.75,-127.74229106615004917181783119052022
-126.734375,-127.72666513726660306788523022211935
-126.71875,-127.71103920815922850911183898111275
-126.703125,-127.69541327882784449300434801619865
-126.6875,-127.67978734927236997798763882496104
-126.671875,-127.66416141949272388338120579521914
-126.65625,-127.64853548948882508937556107107199
-126.640625,-127.63290955926059243700862232920634
-126.625,-127.61728362880794472814208345102222
-126.609375,-127.60165769813080072543776807611627
-126.59375,-127.58603176722907915233396602264946
-126.578125,-127.57040583610269869302175256011132
-126.5625,-127.55477990475157799242129051997904
-126.546875,-127.53915397317563565615811522975588
-126.53125,-127.52352804137479025053940225585902
-126.515625,-127.50790210934896030253021794081321
-126.5,-127.49227617709806429972975272019223
-126.484375,-127.47665024462202069034753720473641
-126.46875,-127.46102431192074788317964101306005
-126.453125,-127.44539837899416424758485434034872
-126.4375,-127.42977244584218811346085224843205
-126.421875,-127.4141465124647377712203416626038
-126.40625,-127.39852057886173147176719106054644
-126.390625,-127.38289464503308742647254283870365
-126.375,-127.3672687109787238071509083414298
-126.359375,-127.3516427766985587460362455382312
-126.34375,-127.33601684219251033575801933439989
-126.328125,-127.32039090746049662931724450032625
-126.3125,-127.30476497250243564006251120476273
-126.296875,-127.28913903731824534166599313729652
-126.28125,-127.27351310190784366809943820527479
-126.265625,-127.25788716627114851361014179041179
-126.25,-127.24226123040807773269690255029289
-126.234375,-127.22663529431854914008596074997616
-126.21875,-127.21100935800248051070691910887783
-126.203125,-127.19538342145978957966864614811364
-126.1875,-127.17975748469039404223516202345364
-126.171875,-127.16413154769421155380150682903363
-126.15625,-127.14850561047115972986959135695209
-126.140625,-127.13287967302115614602403029786685
-126.125,-127.1172537353441183379079578676916
-126.109375,-127.10162779743996380119882584547758
-126.09375,-127.08600185930860999158418400755149
-126.078125,-127.07037592094997432473744294296616
-126.0625,-127.05474998236397417629361923530603
-126.046875,-127.03912404355052688182506299587479
-126.03125,-127.02349810450954973681716773327837
-126.015625,-127.00787216524095999664406254440148
-126,-126.99224622574467487654428661176171
-125.984375,-126.97662028602061155159644599221029
-125.96875,-126.96099434606868715669485268193443
-125.953125,-126.94536840588881878652514594270102
-125.9375,-126.92974246548092349553989587426727
-125.921875,-126.91411652484491829793418921786908
-125.90625,-126.89849058398072016762119737568321
-125.890625,-126.88286464288824603820772663114467
-125.875,-126.86723870156741280296975055498617
-125.859375,-126.85161276001813731482792458185158
