x=-1, n=4
i,p_i,q_i
0,-6.7687502817870086844136127504172485846471200668367123520251173824e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.0792359045310516117680642722560802290169387311451509336200199287e0,-1.7939363781065529074370132594871091679752818451808906449787838875e0
2,-5.4043306717086278477516428070812049469922507526429050529171634460e-1,1.0604659396703672608996094001904477273027991320779682271816497358e0
3,9.0018040630847005458351191673343156225988336387338842448058446774e-2,-2.2805960265638108061933925994249413748022757556486722437468990007e-1
4,-3.1042992423966248698088528868035114038047324865749379926346947874e-3,1.2738368379708451333350626456734224491723346570340768089682661122e-2
|dx| = 0.015625 relative error = 6.8550075732e-23

x=-1, n=5
i,p_i,q_i
0,-6.7687502817870086844136127504172485846471200668367123520251173824e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.3851978556778155049765377796852359578923983384239354049293534549e0,-2.2459577090899546009143498472732876839025700835168854105452954975e0
2,-9.9372835737990947146315664719221981786593703675092778504857780080e-1,1.8203313406150988016184925212719182356300726338724412778307341894e0
3,2.9465961039854229894518106239376919058702691916164468675952367248e-1,-6.3866037785660827589026819866293050106655214349607828995058441793e-1
4,-3.2200068692435449804972350889739122944016751723905978006340816790e-2,8.9872163850626629773051505437603408819044394909190020116480609150e-2
5,7.6678474457795200616614754793379755682889635462545602726469756084e-4,-3.3999725913680643615666999267542381490853320675380289555068985952e-3
|dx| = 0.015625 relative error = 8.8150439002e-28

x=-1, n=6
i,p_i,q_i
0,-6.7687502817870086844136127504172485846471200668367123520251173824e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.6939177535013722728591256602242062339977898708709952782024459610e0,-2.7020535686967770905724252708769377018130450979684160992699104040e0
2,-1.5903642625561365255312371038652534553659781043724518718645146925e0,2.7927778123112446719224389168643271742204667159860910382760827597e0
3,6.9185509234990093032846456969693029505771388548514418927729853806e-1,-1.3757548497772604296207691580710893417917549174415001623099860182e0
4,-1.3853081799497334303822347622442315415516676770126418381694184356e-1,3.2609725102872141897989438160278333267754603719236938311346576361e-1
5,1.0778867360286850424326999496616590513949394387796978955869109128e-2,-3.2548176335438657991024052757118513390115867155818065678106485837e-2
6,-1.8853493188487377274842725304932532817797769074031878962437462299e-4,8.8926676140199249526216292572956307438444408410111674368470051920e-4
|dx| = 0.015625 relative error = 1.1497162883e-32

x=-1, n=7
i,p_i,q_i
0,-6.7687502817870086844136127504172485846471200668367123520251173824e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.0048396065763349011688495168025513336548978243589734945290997466e0,-3.1614025476531651327865704915638956493930565580827014219226617811e0
2,-2.3328194478336657382209734728896466185370161508451539044805818986e0,3.9813034100456649504666448330841861964590944831613599737098067097e0
3,1.3494428425209705174159177435260701771219260207853765831708618982e0,-2.5403424653554326677955689107629615839901763294697872125783554487e0
