x=-8, n=7, |dx| = 0.25
i,p_i,q_i
0,-4.1860167815696213070918311794029085989165876405692225254584920897e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.7295075501064477305502861913004796068875794062836387908024919083e-1,-4.4378662710871341777933271071322302396488499032748721404264504337e-1
2,-2.8177860397458877952205629897149279162451605661020768611809674190e-2,7.8505330852347900269552550322402042220582611932035138061017808319e-2
3,2.2935868684513012550207915794138271850153523865780216202484072253e-3,-7.0379130424971344114898071616737070709883686781246485897645647443e-3
4,-9.7288256784903232989076695974096872322272011803505636503090707556e-5,3.3541665422046830370970718340896385557423191233201282946707449111e-4
5,2.0300894380712002382660337193690946929329968046942634420558912992e-6,-8.1058468451818079283074913159885127149320524067828079344803139547e-6
6,-1.7284810166473106379416237138406881581792540267945689180390684885e-8,8.4321247993662590764999869702757985007464208492634571547928337005e-8
7,3.5005237679168438933639905586321020402619048623579382567821205791e-11,-2.3801776117137355129649263856028706378665972020286678907095661178e-10
relative error = 2.6877232521e-32

x=-7.75, n=7, |dx| = 0.25
i,p_i,q_i
0,-4.2187068783092923887813174575439257005946777563255332974294050535e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.7977312292727894010183846212875649892859880149754737163283853877e-1,-4.5775202396117818677067881907865921336923464415409561768954120496e-1
2,-3.0207450772481912779986861202116161243964049626097656940651425018e-2,8.3524846425707698079043726159507654280173486486909075529923144209e-2
3,2.5357067377183741811741841969757764175217781035798198764695048923e-3,-7.7237594408300215391377934417596486296111867178653819106508191133e-3
4,-1.1091423476866848902742544324386217029264797372137300024328852068e-4,3.7970951419044599803203605100260023107823627387838727691629587266e-4
5,2.3863619337966151101592056499134163875141349753891011396335127988e-6,-9.4661248692882131441978822585849196316690878897674509142447125661e-6
6,-2.0946236249664742588820145375365871135956802861359952355100468266e-8,1.0159411249236353111939064377287444999589454788529035080588640544e-7
7,4.3718162527674002099902091501646963565820702220400185481515713748e-11,-2.9596025993668652752421852945011910343484437319254111985315359369e-10
relative error = 4.3205861830e-32

x=-7.5, n=7, |dx| = 0.25
i,p_i,q_i
0,-4.2527437000075580542202916919048643741479506283265297548950542140e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.8709918847158238365784094673318984881266270310669811847591081416e-1,-4.7262731251633442937053504364585594929425649072698238709434646998e-1
2,-3.2456189062314266173663346449057439181102219023888196005779530416e-2,8.9042465796815434458926468580557961625746655076784506203535933992e-2
3,2.8124945450714004115858510829115526686847411603853668666900248462e-3,-8.5018044630192567477158523728026081576436076882146989045410593104e-3
4,-1.2698514222477039420409986161769192763890122500881858818634931057e-4,4.3156750317314366634047283356580083571479194712560939898734783091e-4
5,2.8198362438314747466750385474030321833540017607655920906641043917e-6,-1.1109896267245030582198040636326809386905419344163089190695260037e-5
6,-2.5540998185560675905351114274709509958080805381916472016772796226e-8,1.2313998477565543100003300990083079101375968707104971183701675769e-7
7,5.4991838773950445534226829816745673821386271332791074255089406910e-11,-3.7059202459654760035213683146783467598618636243808737912488520475e-10
relative error = 7.0540894346e-32

x=-7.25, n=7, |dx| = 0.25
i,p_i,q_i
0,-4.2882275098831331058750498437311300476082115941013343726466040471e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.9498452268513921042293481380691274885705512207745012075319814332e-1,-4.8850459861546058267948579534372110671094104404636595287022112130e-1
2,-3.4956144787720977619059300099336330760257923869312034898936367132e-2,9.5126441866447443806898136664754270465385080162726452767767704184e-2
3,3.1303088854003024898009312185872883075548430672687390973913052498e-3,-9.3880944027883562794271693954086003238108410951428548758697213639e-3
4,-1.4604275516248815355758815354568210750421967829866740837824029510e-4,4.9259685575347925528603706006462311073461401682317797460264853868e-4
5,3.3506508177831244582526701746629142162597055824556799401491473884e-6,-1.3108584870286795962853334333520756491700914172723567942703038403e-5
6,-3.1350158475603625296815300919528630734995288044397428924752181294e-8,1.5021099444817171296956846602043158922796353895016119038921692288e-7
7,6.9702637029435732827005091675132218084325400263169143122607771375e-11,-4.6751939948106790023036550834865193020344813304539775874773361127e-10
relative error = 1.1709448570e-31

x=-7, n=7, |dx| = 0.25
i,p_i,q_i
0,-4.3252696115183904984109100147245622893758351429023527774432214231e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.0349299588239803089267512305763277615407760213722680541822005541e-1,-5.0548887411584015955781162919257186822336923651131629271598672842e-1
2,-3.7745397907317784273868189879887176751290065137565059077516694739e-2,1.0185714673909332389319778944911658986934869918804199970455826170e-1
3,3.4969489145974591480223463800508133607266694561421395937191800105e-3,-1.0402150452677640808314398255094674526652434489318169811679367369e-2
4,-1.6877342384862928860968117569480639481490256551161993716593390283e-4,5.6481647988496026662630666603274738472291664325666813374958783745e-4
5,4.0051530577174960718834506745195992416430019539830192527468035157e-6,-1.5554951386970472915277543125744287223426811577272634301211330020e-5
6,-3.8753394763560149832941073862191561082119459169691281830872166933e-8,1.8448767626455191459948230766194157597175122435341319291796010456e-7
7,8.9072454438699898311331288862996330259423988959724610918331531172e-11,-5.9452113878524391974796461055211030974382651492361069945850004343e-10
relative error = 1.9784922464e-31

x=-6.75, n=7, |dx| = 0.25
i,p_i,q_i
0,-4.3639939877147383755996874387317080164562256486009625133970518621e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.1269836456791504138889085211375427479136251084842002753887045595e-1,-5.2370035510866405789917561649922753700398135441694942193015170691e-1
2,-4.0869430498958862003175575026980841324896119833158582335738488281e-2,1.0932975178219443767780149181044662755279823485747395857124824079e-1
3,3.9220475354495748882988794296189963329642557156981728280891961211e-3,-1.1567880144347515528438250458894853108376146273865979463528548870e-2
4,-1.9605369640955071815837648301392379420166423938519748809536817257e-4,6.5078379752346071886496543851678462531934428832712767260120797453e-4
5,4.8181311397827080542277120374852932137905061383549081343333072146e-6,-1.8570543464242164424518036180211050168148500257229066335237178955e-5
6,-4.8268890074678261736974987341071471881775230128903976185272412209e-8,2.2824823732939732539038900757102616378284186536395501258342250782e-7
7,1.1482435887574218678056210819839593281446973427130639693619286938e-10,-7.6251113543377188559958957827660733119166743864652163266493986198e-10
relative error = 3.4071806991e-31

x=-6.5, n=7, |dx| = 0.25
i,p_i,q_i
0,-4.4045392502357212004807944185753705430924299778816081669593978351e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.2268623328924004403210737769237127242543589452500449828040198519e-1,-5.4327734902845458302592663855040998893626767006177240234058630968e-1
2,-4.4382906823253118207466540954950089001943073620560977672504776097e-2,1.1765762622304322196933457991875451704579367616571089455558077169e-1
3,4.4175915660610539261951351839622064184880331205286227907227081961e-3,-1.2914772818044482788609245508370462718225899623114445446974405561e-2
4,-2.2901273938649792912581270782411254071489815326336676044243788526e-4,7.5376548308018453468479963647626179291648251186771955599687987687e-4
5,5.8359714048540518158801968664636624213166499764702709234701420594e-6,-2.2316153017096578041256662341304975088341176090848373700204877632e-5
